id_mascota,nombre,especie,raza,edad_años,peso_kg,fecha_consulta,dueño_nombre,dueño_email,motivo_consulta,costo_consulta,es_outlier_peso_kg
17,Zeus,perro,Rottweiler,3.9523809523809526,45.3,2023-11-20,Gonzalo Reyes,zeus@gmail.com,Control rutinario,25000.0,False
18,Pelusa,gato,Persa,2.0,3.8,2023-11-28,María Torres,pelusa@gmail.com,Control post-cirugía,30000.0,False
19,Kira,perra,Husky,3.0,22.7,20231205,Sofía Martínez,kira@gmail.com,Vacunación,18000.0,False
20,Garfield,gato,Doméstico,10.0,9999.0,2023-12-10,Jorge Castillo,garfield@gmail.com,Control de peso,25000.0,True
21,Lola,perro,Caniche,4.0,5.2,2023-12-18,Camila Ortiz,lola.ortiz@gmail.com,Revisión dental,35000.0,False
22,Nemo,pez,Payaso,,0.05,2024-01-08,Ricardo Pinto,nemo@gmail.com,Revisión general,15000.0,False
23,Manchas,gato,Doméstico,6.0,4.3,08/01/2024,Elena Vargas,manchas@mail.cl,Desparasitación,15000.0,False
24,Bruno,perro,Labrador,9.0,33.8,2024-01-22,Tomás Ibáñez,bruno@gmail.com,Control geriátrico,40000.0,False
25,Mia,gato,Siamés,5.133333333333334,3.9,20240205,Natalia Sánchez,mia.sanchez@gmail.com,Esterilización,80000.0,False
26,Thor,perro,San Bernardo,2.0,68.5,2024-02-14,Héctor Vidal,thor@gmail.com,Control rutinario,25000.0,False
27,Kitty,gato,Angora,4.0,4.0,2024-02-28,Lorena Muñoz,kitty@hotmail.com,Vacunación,18000.0,False
28,Pancho,perro,Mestizo,7.0,18.3,28/02/2024,Sebastián López,pancho@gmail.com,Revisión general,25000.0,False
29,Mia,gato,Siamés,5.133333333333334,3.9,2024-03-10,Natalia Sánchez,mia.sanchez@gmail.com,Control post-cirugía,30000.0,False
30,Cleo,perro,Dálmata,3.0,24.6,2024-03-18,Gabriela Núñez,cleo@gmail.com,Desparasitación,15000.0,False
31,Oscar,gato,Doméstico,11.0,5.7,20240401,Marcelo Fuentes,oscar@gmail.com,Control geriátrico,40000.0,False
32,Lassy,perra,Collie,6.0,28.1,2024-04-10,Daniela Campos,lassy@gmail.com,Control rutinario,25000.0,False
33,,,Doméstico,3.0,4.5,2024-04-15,Luis Espinoza,sin_nombre@mail.cl,Vacunación,18000.0,False
34,Buba,perro,Pitbull,3.9523809523809526,22.4,15/04/2024,Alejandro Ríos,buba@gmail.com,Revisión general,25000.0,False
35,Salem,gato,Doméstico,7.0,4.2,2024-04-28,Francisca León,salem@gmail.com,Revisión dental,35000.0,False
36,Duque,perro,Doberman,4.0,34.9,2024-05-05,Matías Urrea,duque@gmail.com,Control rutinario,25000.0,False
37,Mimi,gato,Doméstico,2.0,3.1,20240518,Catalina Peña,mimi@hotmail.com,Esterilización,80000.0,False
38,Bolt,perro,Dálmata,1.0,20.8,2024-05-22,Nicolás Castro,bolt@gmail.com,Primera consulta,20000.0,False
39,Cleo,perro,Dálmata,3.0,24.6,2024-05-30,Gabriela Núñez,cleo@gmail.com,Control rutinario,25000.0,False
40,Mufasa,gato,Maine Coon,5.0,7.3,30/05/2024,Victoria Rojas,mufasa@gmail.com,Revisión general,25000.0,False
41,Fido,perro,Mestizo,-1.0,15.2,2024-06-05,Pablo Herrera,fido@gmail.com,Vacunación,18000.0,False
42,Luna,gato,Angora,5.0,4.8,2024-06-12,Claudia Vega,luna.vega@gmail.com,Revisión dental,35000.0,False
43,Toto,perro,Schnauzer,3.0,8.9,20240620,Ignacio Álvarez,toto@gmail.com,Desparasitación,15000.0,False
44,Missy,gato,Persa,6.0,4.4,2024-06-28,Renata Molina,missy@gmail.com,Control rutinario,25000.0,False
45,Rex,perro,Pastor Alemán,7.0,350.0,2024-07-05,Carlos Muñoz,rex_owner@vet.com,Control anual,30000.0,False
46,Paco,loro,Cotorra,,0.15,2024-07-10,Eduardo Torres,paco@gmail.com,Revisión general,20000.0,False
47,Canela,perra,Cocker Spaniel,4.0,13.7,10/07/2024,Paulina Romero,canela@mail.cl,Vacunación,18000.0,False
48,Gohan,perro,Labrador,2.0,29.3,2024-07-22,Cristóbal Vera,gohan@gmail.com,Control rutinario,25000.0,False
49,Nala,gato,Doméstico,5.133333333333334,3.5,2024-07-30,Isabel Rojas,nala.rojas@gmail.com,Control post-op,30000.0,False
50,Chispas,perro,Chihuahua,8.0,2.8,20240808,Amanda Jiménez,chispas@gmail.com,Control geriátrico,40000.0,False
